User Name,Mode of Transport,Distance Traveled (In Miles),Frequency(Per Week),Start Location,End Location,Fuel Type,Fuel Efficiency
Kim Smith,Car,25,5,Sunnyvale,San Francisco,gasoline,21
Tim Nova,Car,22,4,San Jose,Stanford,electric,28
Leslie Kleina,Bike,18,4,San Carlos,Sunnyvale,electric,22
Mary Jane,Car,19,4,Palo Alto,San Francisco,gasoline,24
John Doe,Car,10,5,Mountain View,Santa Clara,electric,20
Nick Jones,Car,9,2,Santa Clara,Milpitas,electric,27
Daniel Smith,Car,9,3,Santa Clara,Milpitas,electric,24
John Jacob,Car,13,4,Redwood City,Los Altos,gasoline,27
Sara Rebecca,Car,8,5,Redwood City,Palo Alto,gasoline,23
George Edward,Car,12,4,Mountain View,Milpitas,electric,29
Peter Parker,Bike,5,1,Sunnyvale,Santa Clara,electric,20
Robert Downey,Car,25,2,Sunnyvale,San Francisco,gasoline,21
Eligibeth Tylor,Car,15,4,Milpitas,Palo Alto,gasoline,23
Kai Le,Car,25,3,Sunnyvale,San Francisco,gasoline,21
Robert Patel,Car,23,1,San Jose,Union City,gasoline,22
Cameron Lo,Car,18,3,San Carlos,Sunnyvale,gasoline,23
Harper Castillo,Car,14,2,Palo Alto,Santa Clara,electric,30
Harper Dominguez,Car,16,2,Redwood City,San Francisco,gasoline,23
Ezra Vu,Bike,8,3,Redwood City,Palo Alto,gasoline,26
Jade Hu,Car,13,3,Redwood City,Los Altos,electric,23
Miles Chang,Car,24,3,Livermore,Milpitas,electric,26
Gianna Holmes,Bike,14,5,Palo Alto,Santa Clara,gasoline,26
Jameson Thomas,Car,23,5,San Jose,Union City,electric,28
Jameson Pena,Bike,23,1,San Jose,Union City,gasoline,24
Bella Wu,Car,15,1,Milpitas,Palo Alto,gasoline,21
Jose Wong,Bike,21,2,Campbell,Palo Alto,gasoline,26
Lucas Richardson,Car,13,5,Redwood City,Los Altos,gasoline,21
Jacob Moore,Bike,23,5,San Jose,Union City,electric,25
Luna Lu,Bike,23,1,San Jose,Union City,gasoline,25
Bella Tran,Car,13,5,Redwood City,Los Altos,electric,24
Ivy Chau,Bike,19,4,Palo Alto,San Francisco,gasoline,23
Jordan Kumar,Car,24,2,Livermore,Milpitas,electric,28
Sophia Gutierrez,Car,19,1,Palo Alto,San Francisco,electric,27
Eli Dang,Car,14,3,Palo Alto,Santa Clara,gasoline,23
Lillian Lewis,Car,7,3,Santa Clara,San Jose,gasoline,24
Serenity Cao,Car,20,1,Campbell,Fremont,electric,28
Parker Lai,Car,9,4,Santa Clara,Milpitas,gasoline,30
Charles Simmons,Car,18,1,San Carlos,Sunnyvale,electric,25
Jayden Luu,Car,16,2,Redwood City,San Francisco,electric,24
Brooks Richardson,Car,7,5,Santa Clara,San Jose,electric,27
Ivy Thompson,Car,18,5,San Carlos,Sunnyvale,electric,27
Peyton Wright,Bike,17,5,Mountain House,Livermore,gasoline,26
Wyatt Dinh,Car,5,1,Sunnyvale,Santa Clara,gasoline,30
Ruby Alexander,Bike,20,4,Campbell,Fremont,electric,30
Axel Oh,Bike,8,4,Redwood City,Palo Alto,electric,27
Axel Ramirez,Car,22,1,San Jose,Stanford,gasoline,27
Liliana Chang,Car,16,4,Redwood City,San Francisco,gasoline,23
Leonardo Carter,Car,21,2,Campbell,Palo Alto,electric,30
Landon Gonzales,Car,22,1,San Jose,Stanford,electric,29
Amelia Dominguez,Car,21,1,Campbell,Palo Alto,gasoline,20
Silas Ross,Car,14,3,Palo Alto,Santa Clara,gasoline,23
Jeremiah Cheng,Car,13,4,Redwood City,Los Altos,gasoline,21
Chloe Chin,Car,8,2,Redwood City,Palo Alto,gasoline,26
Ella Martinez,Bike,23,3,San Jose,Union City,electric,30
Gianna Jones,Bike,9,1,Santa Clara,Milpitas,gasoline,24
Austin Chow,Bike,23,2,San Jose,Union City,gasoline,23
Ella Chen,Bike,16,1,Redwood City,San Francisco,electric,23
Ruby Kaur,Car,6,1,Mountain View,Sunnyvale,electric,20
Savannah Morales,Bike,19,1,Palo Alto,San Francisco,electric,23
Luca Powell,Car,11,3,San Carlos,Palo Alto,electric,27
Parker Thao,Car,23,1,San Jose,Union City,gasoline,22
Ryan Vo,Bike,6,5,Mountain View,Sunnyvale,electric,30
Isabella Ngo,Bike,15,5,Milpitas,Palo Alto,gasoline,30
Leah Vega,Car,9,3,Santa Clara,Milpitas,electric,23
Jaxson Liu,Car,8,5,Redwood City,Palo Alto,gasoline,25
Santiago f Ross,Car,9,3,Santa Clara,Milpitas,electric,25
Layla Bell,Car,21,3,Campbell,Palo Alto,electric,28
Bella Morales,Car,23,4,San Jose,Union City,electric,24
Eliza Kang,Car,8,3,Redwood City,Palo Alto,gasoline,29
Gabriel Reyes,Car,6,3,Mountain View,Sunnyvale,gasoline,30
Piper Garcia,Bike,9,2,Santa Clara,Milpitas,electric,27
Jacob Cheng,Car,25,1,Sunnyvale,San Francisco,electric,30
Nathan Hong,Bike,19,2,Palo Alto,San Francisco,gasoline,27
Chloe Kim,Car,12,5,Mountain View,Milpitas,electric,29
Isaac Guzman,Car,7,3,Santa Clara,San Jose,electric,27
Julian Ford,Car,23,3,San Jose,Union City,electric,26
Kinsley Liang,Bike,13,4,Redwood City,Los Altos,gasoline,26
Wesley Yu,Car,7,1,Santa Clara,San Jose,electric,29
Serenity Martin,Car,20,2,Campbell,Fremont,gasoline,20
Ethan Sanchez,Bike,17,4,Mountain House,Livermore,gasoline,24
David Sanchez,Bike,15,4,Milpitas,Palo Alto,gasoline,26
Elias Hsu,Car,11,4,San Carlos,Palo Alto,electric,22
Luca Phan,Car,15,1,Milpitas,Palo Alto,electric,25
Olivia Xi,Car,14,4,Palo Alto,Santa Clara,gasoline,28
Alice Luu,Car,20,5,Campbell,Fremont,electric,26
Leonardo Ng,Bike,18,2,San Carlos,Sunnyvale,electric,30
Peyton Edwards,Car,25,5,Sunnyvale,San Francisco,gasoline,29
Axel Patel,Bike,32,2,Livermore,Santa Clara,gasoline,23
Eva Chavez,Car,7,5,Santa Clara,San Jose,electric,23
Savannah Lee,Bike,22,4,San Jose,Stanford,electric,22
Mia Grant,Bike,16,2,Redwood City,San Francisco,gasoline,28
Eli Richardson,Bike,23,1,San Jose,Union City,gasoline,27
Eloise Perry,Bike,18,3,San Carlos,Sunnyvale,gasoline,22
Ian Cheng,Car,8,2,Redwood City,Palo Alto,electric,27
Penelope Chan,Car,32,2,Livermore,Santa Clara,electric,29
Sofia Vasquez,Car,6,4,Mountain View,Sunnyvale,electric,24
Anthony Baker,Car,15,1,Milpitas,Palo Alto,gasoline,28
Lucas Luong,Bike,15,3,Milpitas,Palo Alto,gasoline,27
Xavier Patel,Car,23,4,San Jose,Union City,gasoline,26
Robert Soto,Car,15,1,Milpitas,Palo Alto,gasoline,27
Nevaeh Jiang,Car,10,4,Mountain View,Santa Clara,electric,25
Chloe Reyes,Bike,14,3,Palo Alto,Santa Clara,electric,30
Lucy Edwards,Car,20,5,Campbell,Fremont,electric,24
Luna Edwards,Car,20,4,Campbell,Fremont,gasoline,24
Stella Daniels,Car,6,4,Mountain View,Sunnyvale,gasoline,28
Ayla Ma,Car,8,4,Redwood City,Palo Alto,gasoline,25
Matthew Avila,Car,12,1,Mountain View,Milpitas,gasoline,23
Gianna Lim,Bike,18,3,San Carlos,Sunnyvale,electric,26
Joseph Tan,Car,20,1,Campbell,Fremont,gasoline,24
Connor Lai,Car,22,4,San Jose,Stanford,gasoline,29
Ava Owens,Car,20,3,Campbell,Fremont,gasoline,24
Dylan Aguilar,Car,11,1,San Carlos,Palo Alto,gasoline,23
Leah Zheng,Car,5,1,Sunnyvale,Santa Clara,electric,21
Jade Pham,Car,7,1,Santa Clara,San Jose,electric,22
Theodore Bui,Car,25,2,Sunnyvale,San Francisco,electric,27
Asher Chan,Car,21,5,Campbell,Palo Alto,electric,26
Ezekiel Brown,Car,14,3,Palo Alto,Santa Clara,electric,24
Peyton Allen,Bike,21,2,Campbell,Palo Alto,gasoline,27
Parker Joseph,Bike,7,1,Santa Clara,San Jose,electric,20
Kayden Ortiz,Car,19,2,Palo Alto,San Francisco,gasoline,20
Lillian Desai,Car,18,5,San Carlos,Sunnyvale,gasoline,20
Avery Gutierrez,Car,17,4,Mountain House,Livermore,electric,20
Caroline Sandoval,Bike,16,3,Redwood City,San Francisco,electric,20
Hailey Lim,Bike,40,1,Mountain House,Milpitas,electric,29
Roman Liang,Car,20,1,Campbell,Fremont,electric,30
Elias Rojas,Bike,22,5,San Jose,Stanford,electric,26
Quinn Lai,Car,14,4,Palo Alto,Santa Clara,gasoline,21
Clara Le,Car,17,4,Mountain House,Livermore,electric,23
Chloe Yoon,Car,24,3,Livermore,Milpitas,gasoline,22
Abigail Simmons,Car,16,5,Redwood City,San Francisco,electric,30
Ayla Espinoza,Car,14,3,Palo Alto,Santa Clara,gasoline,24
Nova Lin,Car,12,3,Mountain View,Milpitas,electric,27
Sadie Singh,Bike,19,3,Palo Alto,San Francisco,electric,22
Aaron Powell,Car,23,3,San Jose,Union City,gasoline,23
Jameson Vargas,Car,12,3,Mountain View,Milpitas,gasoline,29
Logan Young,Car,18,3,San Carlos,Sunnyvale,electric,23
Wyatt Cheung,Car,10,5,Mountain View,Santa Clara,electric,24
Lucas Zhu,Car,1,2,Milpitas,Milpitas,gasoline,20
Emily Hong,Car,14,4,Palo Alto,Santa Clara,electric,25
Luke Ramos,Car,6,1,Mountain View,Sunnyvale,electric,27
Maya Gupta,Bike,40,1,Mountain House,Milpitas,electric,20
Eliana Ha,Bike,15,4,Milpitas,Palo Alto,electric,26
Lillian Cheng,Bike,23,1,San Jose,Union City,electric,30
Alexander Pena,Bike,11,1,San Carlos,Palo Alto,electric,21
Leonardo Mai,Car,19,1,Palo Alto,San Francisco,gasoline,22
Jack Phillips,Car,13,2,Redwood City,Los Altos,gasoline,25
Scarlett Delgado,Car,24,2,Livermore,Milpitas,gasoline,22
Jack Rogers,Car,25,1,Sunnyvale,San Francisco,gasoline,27
Violet Huynh,Car,21,2,Campbell,Palo Alto,electric,30
